ticker,cik,sector,latest_quarter_end,revenue_concept,net_income_concept,ocf_concept,eps_diluted_concept,eps_source,eps_notes,quarters_available,annuals_available,has_quarterly_revenue,has_quarterly_eps,has_quarterly_net_income,has_quarterly_ocf,rev_yoy,eps_yoy,ocf_yoy,ni_yoy,rev_qoq,eps_qoq,ocf_qoq,ttm_revenue,ttm_net_income,ttm_eps_diluted,ttm_ocf,latest_quarter_all_positive,revenue_qoq_grew_0,revenue_qoq_grew_1,revenue_qoq_grew_2,revenue_qoq_grew_3,eps_diluted_qoq_grew_0,eps_diluted_qoq_grew_1,eps_diluted_qoq_grew_2,eps_diluted_qoq_grew_3,ocf_qoq_grew_0,ocf_qoq_grew_1,ocf_qoq_grew_2,ocf_qoq_grew_3,net_income_qoq_grew_0,net_income_qoq_grew_1,net_income_qoq_grew_2,net_income_qoq_grew_3,reasons,grade_score,grade_letter,grade_provisional,foreign_grade_score,foreign_grade_letter
SPOT,0001639920,,,,,,,,,0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,51.04,D
SFM,0001575515,,2025-06-29,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.17273816634530736,0.4361702127659577,0.3181612297017298,0.4031315261992465,0.0437638369713631,0.13555954081771057,0.25881244677236803,8296292000.0,500628000.0,5.01,1541072000.0,True,False,True,True,True,False,True,False,False,True,False,True,True,False,True,False,False,,69.08,C,False,,
SSNC,0001402436,,2025-06-30,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.05876679297278686,-0.040000000000000036,0.14096215068977713,-0.04992117708880717,0.017322868707041805,0.056448658868013674,0.8498657786872339,5968000000.0,748500000.0,2.96,2384700000.0,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,True,,61.11,C,False,,
STAG,0001479094,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,yfinance,filled from yfinance,8,2,True,True,True,True,0.09387860488889599,-0.18181818181818177,-0.052722771188714046,-0.1635582021644949,0.026144690287507155,0.25710622193541444,0.5242222337606263,793683000.0,243042000.0,1.32,901708000.0,True,True,True,True,True,False,True,False,True,True,False,True,True,False,True,False,True,,66.09,C,False,,
STLA,0001605484,,,,,,,,,0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,,
STM,0000932787,,,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,25.34,F
SYK,0000310764,,2025-06-30,Revenues,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.11066027296200653,0.07009345794392519,0.6260454002389486,0.07151515151515153,0.03543103808311465,0.04767130665578448,2.1040427070567516,22804000000.0,3197000000.0,8.280000000000001,4759000000.0,True,True,True,True,True,True,False,True,True,True,False,True,True,True,False,True,True,,70.87,B,False,,
SU,0000311337,,,,,,,,,0,0,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,35.75,F
SMCI,0001375365,,2025-03-31,RevenueFromContractWithCustomerExcludingAssessedTax,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,True,True,True,True,0.19476211576632707,-0.7424242424242424,-1.432993790522904,-0.7297190521270489,0.08977435373485673,-0.1490508686513954,1.639784371716206,20065197000.0,1256159000.0,2.0100000000000002,-464196000.0,True,False,False,True,True,False,False,True,True,True,False,False,True,False,False,True,True,,43.0,D,False,,
SYF,0001601712,,2025-06-30,,NetIncomeLoss,NetCashProvidedByUsedInOperatingActivities,EarningsPerShareDiluted,,,8,2,False,True,True,True,,0.6129032258064515,0.00591715976331364,0.5038880248833593,,0.010555400837312018,0.5365111154366748,,3156000000.0,7.88,19187000000.0,False,,,,,True,False,True,False,True,False,True,True,True,False,True,False,,68.36,C,False,,
